5: sup= 3, uo= 0.445370
5 1: sup= 1, uo= 0.322034
5 1 4: sup= 1, uo= 0.796610
5 1 4 2: sup= 1, uo= 1.000000
5 1 2: sup= 1, uo= 0.525424
5 3: sup= 1, uo= 0.763158
5 3 2: sup= 1, uo= 1.000000
5 4: sup= 2, uo= 0.864407
5 4 2: sup= 1, uo= 0.932203
5 2: sup= 2, uo= 0.610393
1 3: sup= 2, uo= 0.837838
1 3 2: sup= 1, uo= 1.000000
1 4: sup= 2, uo= 0.568484
1 4 2: sup= 2, uo= 0.872881
1 2: sup= 4, uo= 0.567797
3: sup= 5, uo= 0.487792
3 4: sup= 1, uo= 0.720930
3 4 2: sup= 1, uo= 1.000000
3 2: sup= 4, uo= 0.748371
4: sup= 5, uo= 0.544709
4 2: sup= 3, uo= 0.722322
2: sup= 7, uo= 0.405520
